Ingredient,Normalized_Ingredient
Lime Juice,Lime Juice
"each Fresh Lime Juice, lemon juice, pineapple juie, and passion fruit syrup",Lime Juice
Rose's Lime Juice,Lime Juice
Lemon or Lime Juice,Lime Juice
Roses Lime Juice,Lime Juice
Limoncello,Limoncello
Mandarine Napoleon Liqueur,Liqueur
Maraschino liqueur,Liqueur
Melon liqueur,Liqueur
Allspice liqueur (pimento dram),Liqueur
Apple schnapps,Liqueur
"Apple schnapps, grapefruit twist",Liqueur
Vanilla liqueur and 3 oz,Liqueur
Vanilla liqueur,Liqueur
Tropical fruit schnapps,Liqueur
Elderflower liqueur,Liqueur
Coffee-flavored liqueur,Liqueur
Coffee liqueur,Liqueur
Blood orange liqueur,Liqueur
Orange liqueur,Liqueur
Cinnamon schnapps,Liqueur
Blackberry liqueur,Liqueur
Peach liqueur,Liqueur
Strawberry schnapps,Liqueur
Lychee liqueur,Liqueur
Peach schnapps,Liqueur
Pear liqueur,Liqueur
Cherry liqueur,Liqueur
Peppermint schnapps,Liqueur
Raspberry-flavored liqueur,Liqueur
Strawberry liqueur,Liqueur
Black raspberry liqueur,Liqueur
Coconut liqueur,Liqueur
White chocolate liqueur,Liqueur
Lime Liqueur,Liqueur
Hot Shot Tropical Fruit Liqueur,Liqueur
Irish cream liqueur,Liqueur
Honey liqueur,Liqueur
Long thyme sprigs,Long Thyme Sprigs
Madeira,Madeira
Mango juice,Mango Juice
Mango nectar,Mango Nectar
Mango slice,Mango Slice
Manzanilla sherry,Manzanilla Sherry
Maraschino,Maraschino
Maraschino cherry,Maraschino Cherry
Margarita Mix,Margarita Mix
Mezcal,Mezcal
mint leaves,Mint
Fresh mint sprig,Mint
Fresh mint leaves,Mint
"Cucumber slice, fresh mint sprig",Mint
springs mint,Mint
Fresh mint leaf,Mint
Mint sprigs,Mint
Mountain Dew,Mountain Dew
Mr. Boston Creme de menthe,Mr. Boston Creme De Menthe
Mr. Boston Creme de Noyaux,Mr. Boston Creme De Noyaux
Mr. Boston Triple Sec,Mr. Boston Triple Sec
Old Mr. Boston Anisette,Old Mr. Boston Anisette
Old Mr. Boston Creme de Cacao,Old Mr. Boston Creme De Cacao
Old Mr. Boston Creme de Menthe (White),Old Mr. Boston Creme De Menthe (White)
Old Mr. Boston Green Creme de Menthe,Old Mr. Boston Green Creme De Menthe
Old Mr. Boston Kummel,Old Mr. Boston Kummel
Old Mr. Boston Rock and Rye,Old Mr. Boston Rock And Rye
Old Mr. Boston Triple Sec,Old Mr. Boston Triple Sec
Old Mr. Boston White Creme de Cacao,Old Mr. Boston White Creme De Cacao
Old Mr. Boston White Creme de Menthe,Old Mr. Boston White Creme De Menthe
Olive brine,Olive Brine
Oloroso sherry,Oloroso Sherry
Orange wheel,Orange
"Orange twist, green olive",Orange
Orange blossoms (optional): orange wedge,Orange
"Orange wheel, maraschino cherry",Orange
"Orange twist, flamed",Orange
Orange twist,Orange
"Orange marmalade, grapefruit twist",Orange
orange peel,Orange
Dehydrated Orange Wheel,Orange
orange zest,Orange
"Orange half-wheel, maraschino cherry",Orange
Clementine or mandarin orange,Orange
Blood or navel orange half-wheel,Orange
Orange curacao,Orange
Dried Orange Peel,Orange
Orange half-wheel,Orange
Orange,Orange
Blood orange wheel,Orange
"Freshly grated nutmeg, orange wheel",Orange
"Orange zest spiral, maraschino cherry",Orange
Orange juice,Orange Juice
"each Fresh orange juice, pineapple juice, cranberry juice",Orange Juice
each Orange juice and sweet sherry,Orange Juice
Orange Juice,Orange Juice
orange juice,Orange Juice
Blood orange juice,Orange Juice
Fresh orange juice and orange wheel,Orange Juice
Fresh orange juice,Orange Juice
each Orange juice and simple syrup,Orange Juice
Palo cortado or oloroso sherry,Palo Cortado Or Oloroso Sherry
Pastis,Pastis
Peach,Peach
Peach puree,Peach Puree
Peach slice,Peach Slice
"Peach slice, skinned","Peach Slice, Skinned"
Pedro Ximenez sherry,Pedro Ximenez Sherry
Pepper,Pepper
Pepper and Salt,Pepper And Salt
Pimm's No. 1 Cup,Pimm'S No. 1 Cup
"Pineapple wedge, maraschino cherry",Pineapple
Canned pitted lychee nut stuffed with a small pineapple leaf,Pineapple
Pineapple wedge,Pineapple
pineapple,Pineapple
Crushed Pineapple,Pineapple
Pineapple,Pineapple
Fresh mint sprig; pineapple wedge skewered with maraschino cherry,Pineapple
Small pineapple slice,Pineapple
Pineapple Juice,Pineapple Juice
Pisco,Pisco
Pomegranate juice,Pomegranate Juice
Pomegranate molasses,Pomegranate Molasses
pomegranate molasses (available at Middle Eastern grocers),Pomegranate Molasses (Available At Middle Eastern Grocers)
port,Port
Port,Port
Powdered Nutmeg,Powdered Nutmeg
Prepared horseradish,Prepared Horseradish
Punt e Mes,Punt E Mes
Ramazzotti Amaro,Ramazzotti Amaro
Raspberry Juice,Raspberry Juice
Raspberry Yogurt,Raspberry Yogurt
Red grapes,Red Grapes
Ripe pear,Ripe Pear
Rock and Rye,Rock And Rye
Rosemary sprig,Rosemary Sprig
Ruby port,Ruby Port
Batavia arrack or light rum,Rum
Spiced rum,Rum
151-Proof Rum,Rum
17-year-old J. Wray and Nephew Ltd. Rum,Rum
African rum,Rum
White rum,Rum
Jamaica Rum,Rum
Gold rum,Rum
"each Dark rum, light rum",Rum
Cachaca (Brazilian rum),Rum
Light Rum,Rum
Bacardi Rum,Rum
"each Cranberry Juice, orange juice, spiced rum",Rum
Rum-soaked black cherry,Rum
Coconut-flavored rum,Rum
"each Fresh Lime Juice, jamaica rum, grenadine",Rum
Old Mr. Boston Imported Rum,Rum
Dark rum,Rum
Old Mr. Boston Rum,Rum
Creole Shrubb (rum-based orange liqueur),Rum
"each Simple Syrup, light rum, dark rum",Rum
Light or dark rum,Rum
"Dark rum, preferably Jamaican",Rum
Coconut rum,Rum
Mr. Boston Rum,Rum
Sake,Sake
Salt,Salt
Sambuca,Sambuca
Scotch,Scotch
Butterscotch schnapps,Scotch
"Smoky Scotch, such as Laphroaig",Scotch
shaved ice,Shaved Ice
Tonic water,Soda
Club Soda,Soda
Lime soda,Soda
7-Up,Soda
Soda water,Soda
Soda water (optional),Soda
"Soda water, Orange and lemon wheels, maraschino cherry",Soda
Bitter lemon soda,Soda
"Soda water, orange and lemon wheels",Soda
"Lime soda, pineapple wedge, maraschino cherry or lime wheel",Soda
"Lime soda, orange wheel, maraschino cherry",Soda
Grapefruit soda,Soda
Grapefruit-flavored soda,Soda
Chocolate bitters,Soda
Grated bittersweet chocolate,Soda
cola,Soda
Cola,Soda
Lemon-lime soda,Soda
Tonic,Soda
"Lemon-lime soda, cucumber slice",Soda
"Soda water, strawberry slide, fresh basil leaf",Soda
Sour Mix,Sour Mix
Sparkling apple cider,Sparkling Apple Cider
Splash triple sec,Splash Triple Sec
Stick of cotton candy,Stick Of Cotton Candy
"Strawberries, cut into halves","Strawberries, Cut Into Halves"
Strawberry,Strawberry
"Strawberry, chopped","Strawberry, Chopped"
Strega,Strega
powdered sugar,Sugar
"Lime wedge, superfine sugar or coarse salt (optional)",Sugar
lump sugar,Sugar
"Lemon wedge, superfine sugar,  Long, wide spiral of orange zest",Sugar
Sugar,Sugar
Sugar cube,Sugar
Superfine sugar,Sugar
lump of sugar,Sugar
"Lemon, orange, and pineapple slices; maraschino cherry; fresh mint sprig dipped in sugar",Sugar
"Brown sugar cube, such as Demerara",Sugar
"Lemon wedge, Cinnamon Sugar",Sugar
Powdered Sugar,Sugar
"Lime wedge, pink sanding sugar",Sugar
"Lemon wedge, superfine sugar",Sugar
"Lime wedge, superfine sugar",Sugar
Swedish Punch,Swedish Punch
Sweet pickle brine,Sweet Pickle Brine
Sweet pickle slice,Sweet Pickle Slice
Sweet Sherry,Sweet Sherry
"Sweet sherry, preferably Pedro Ximenez","Sweet Sherry, Preferably Pedro Ximenez"
Demerara Syrup,Syrup
Pomegranate syrup,Syrup
Lavender Syrup,Syrup
Orgeat Syrup,Syrup
Chile Syrup,Syrup
"each Simple Syrup, angostura bitters",Syrup
"Vanilla syrup, preferably B.A. Reynold's",Syrup
Simple Syrup,Syrup
Almond or orgeat syrup,Syrup
"Simple Syrup, 1/2 oz",Syrup
Rhubarb Syrup,Syrup
Honey-Currant Syrup,Syrup
"each Triple Sec, simple syrup",Syrup
Mint syrup,Syrup
Simple Syrup Scant,Syrup
Raspberry Syrup,Syrup
Passion Fruit Syrup,Syrup
"each Simple Syrup, grenadine",Syrup
Maple Syrup,Syrup
maple syrup (grade B or medium-amber),Syrup
Rock candy syrup or simple syrup,Syrup
orgeat or almond syrup,Syrup
"Simple Syrup, 3/4 oz",Syrup
Honey Syrup,Syrup
Sugar Syrup,Syrup
Tawny port,Tawny Port
"Cold brewed black tea, preferably Japanese",Tea
Cold brewed chai tea,Tea
Cold brewed green tea,Tea
Hot Tea,Tea
Iced tea,Tea
Jalapeno-Infused Tequila,Tequila
Gold tequila,Tequila
Tequila,Tequila
Blanco tequila,Tequila
Old Mr. Boston Tequila,Tequila
Reposado tequila,Tequila
Reposado blanco tequila,Tequila
Anejo tequila,Tequila
Thin pear slice,Thin Pear Slice
Thyme sprig,Thyme Sprig
Tomato Catsup,Tomato Catsup
Tomato Juice,Tomato Juice
Triple Sec,Triple Sec
Unsprayed rose petal,Unsprayed Rose Petal
Light Vermouth,Vermouth
Sweet Vermouth,Vermouth
Vermouth,Vermouth
sweet vermouth,Vermouth
Dry Vermouth,Vermouth
Vinegar,Vinegar
lemon-flavored vodka,Vodka
each Citrus-flavored vodka and orange-flavored vodka,Vodka
"each Light Rum, Gin, Vodka, Blanco tequila, Blue curacao",Vodka
"each Vodka, tequila blanco, triple sec",Vodka
100-proof Vodka,Vodka
Vanilla-flavored vodka,Vodka
Old Mr. Boston Vodka,Vodka
Cherry Vodka,Vodka
Mr. Boston Vodka,Vodka
Mango-flavored vodka,Vodka
Lime Vodka,Vodka
Vodka,Vodka
Orange-flavored vodka,Vodka
Old Mr. Boston Grape Vodka,Vodka
Peach-flavored vodka,Vodka
Grapefruit-flavored vodka,Vodka
Pear-flavored vodka,Vodka
Raspberry-flavored vodka,Vodka
Black cherry-flavored vodka,Vodka
Bison grass vodka (Zubrowka),Vodka
Aquavit or vodka,Vodka
Acai berry flavored vodka,Vodka
Citrus-flavored vodka,Vodka
Old Mr. Boston 100 proof Vodka,Vodka
Orange blossom water,Water
Cold Water,Water
carbonated water,Water
boiling water,Water
Carbonated Water,Water
water,Water
Water,Water
Rose water,Water
Old Mr. Boston Blended Whiskey,Whiskey/Bourbon
Irish Whiskey,Whiskey/Bourbon
Georgia Moon Corn Whiskey,Whiskey/Bourbon
Desmond & Duff Scotch Whisky,Whiskey/Bourbon
Old Kentucky Tavern Bourbon Whiskey,Whiskey/Bourbon
Old Thompson Blended Whiskey,Whiskey/Bourbon
Rye or bourbon whiskey,Whiskey/Bourbon
White whiskey,Whiskey/Bourbon
Blended Scotch Whiskey,Whiskey/Bourbon
Whiskey barrel bitters,Whiskey/Bourbon
Blended whiskey,Whiskey/Bourbon
Bourbon,Whiskey/Bourbon
Bourbon Whiskey,Whiskey/Bourbon
Bourbon or Rye Whiskey,Whiskey/Bourbon
Bourbon or rye whiskey,Whiskey/Bourbon
blended whiskey,Whiskey/Bourbon
Vanilla-Infused Bourbon,Whiskey/Bourbon
Tennessee whiskey,Whiskey/Bourbon
Bourbon whiskey,Whiskey/Bourbon
Straight rye whisky,Whiskey/Bourbon
Straight rye whiskey,Whiskey/Bourbon
Canadian whisky,Whiskey/Bourbon
"Smoky Scotch whisky, such as Laphroaig",Whiskey/Bourbon
"Smoky Scotch whisky, such as Islay or Skye",Whiskey/Bourbon
Scotch Whiskey,Whiskey/Bourbon
Rye Whiskey,Whiskey/Bourbon
Single-malt Scotch whisky,Whiskey/Bourbon
White creme de cacao,White Creme De Cacao
White creme de menthe,White Creme De Menthe
White Curacao,White Curacao
White curacao or triple sec,White Curacao Or Triple Sec
White grapes,White Grapes
White or dark creme de cacao,White Or Dark Creme De Cacao
whole cloves,Whole Cloves
Whole strawberry,Whole Strawberry
"Whole strawberry, hulled","Whole Strawberry, Hulled"
White Port Wine,Wine
red wine,Wine
"Wine (Port, Cream Sherry, Claret, Burgundy, or Madeira)",Wine
Chilled sparkling wine or Champagne,Wine
chilled Rhine wine or Sauterne,Wine
"Sparkling wine, raspberry and cucumber",Wine
Red wine,Wine
"Champagne or sparkling wine, mint sprig",Wine
Muscatel Wine,Wine
Chilled American sparkling wine,Wine
Chilled Moscato d'Asti or sweet sparkling wine,Wine
Chilled sparkling wine,Wine
Danish Cherry Wine,Wine
Worcestershire Sauce,Worcestershire Sauce
Yellow Chartreuse,Yellow Chartreuse
